# CPU: 12th Gen Intel(R) Core(TM) i5-12600KF
# CPU Frequency: 3.69 GHz
# Compiler: Clang 19.1.5
# 
kernel,implementation,data_type,array_size,aligned,stride,time_seconds,gflops,cpe,bandwidth_gbs,speedup,run_id,compiler_flags
stencil_3point,scalar,f32,1048576,0,1,0.000168783,32571752.723,0.593,74.551,0.000,203,avx2
memory_bandwidth,scalar,f32,1048576,0,1,0.000151107,7276377.844,0.531,55.514,0.000,204,avx2
axpy,vectorized,f32,1048576,0,1,0.000168743,13031789.503,0.593,74.568,1.045,205,avx2
dot_product,vectorized,f32,1048576,0,1,0.000106895,20571806.513,0.376,78.475,1.075,206,avx2
elementwise_multiply,vectorized,f32,1048576,0,1,0.000243589,4513798.356,0.856,51.656,1.035,207,avx2
stencil_3point,vectorized,f32,1048576,0,1,0.000170821,32183151.584,0.600,73.661,0.988,208,avx2
memory_bandwidth,vectorized,f32,1048576,0,1,0.000165254,6653464.525,0.581,50.762,0.914,209,avx2
axpy,scalar,f32,1048576,1,1,0.000175695,12516140.202,0.618,71.618,0.000,210,avx2
dot_product,scalar,f32,1048576,1,1,0.000108996,20175265.674,0.383,76.963,0.000,211,avx2
elementwise_multiply,scalar,f32,1048576,1,1,0.000215124,5111059.802,0.756,58.491,0.000,212,avx2
stencil_3point,scalar,f32,1048576,1,1,0.000153006,35930343.568,0.538,82.238,0.000,213,avx2
memory_bandwidth,scalar,f32,1048576,1,1,0.000140838,7806924.468,0.495,59.562,0.000,214,avx2
axpy,vectorized,f32,1048576,1,1,0.000178354,12329542.696,0.627,70.550,0.985,215,avx2
dot_product,vectorized,f32,1048576,1,1,0.000100352,21913098.479,0.353,83.592,1.086,216,avx2
elementwise_multiply,vectorized,f32,1048576,1,1,0.000212852,5165615.676,0.748,59.116,1.011,217,avx2
stencil_3point,vectorized,f32,1048576,1,1,0.000150463,36537608.204,0.529,83.628,1.017,218,avx2
memory_bandwidth,vectorized,f32,1048576,1,1,0.000140019,7852588.786,0.492,59.910,1.006,219,avx2
axpy,scalar,f64,1048576,0,1,0.000387016,5681995.717,1.360,65.025,0.000,220,avx2
dot_product,scalar,f64,1048576,0,1,0.000314608,6989724.531,1.106,53.327,0.000,221,avx2
elementwise_multiply,scalar,f64,1048576,0,1,0.000731734,1502611.096,2.572,34.392,0.000,222,avx2
stencil_3point,scalar,f64,1048576,0,1,0.000364996,15061968.177,1.283,68.948,0.000,223,avx2
memory_bandwidth,scalar,f64,1048576,0,1,0.000334882,3283280.762,1.177,50.099,0.000,224,avx2
axpy,vectorized,f64,1048576,0,1,0.000391491,5617046.768,1.376,64.282,0.989,225,avx2
dot_product,vectorized,f64,1048576,0,1,0.000387864,5669572.980,1.363,43.255,0.811,226,avx2
elementwise_multiply,vectorized,f64,1048576,0,1,0.000780821,1408148.125,2.745,32.230,0.937,227,avx2
stencil_3point,vectorized,f64,1048576,0,1,0.000346537,15864274.641,1.218,72.621,1.053,228,avx2
memory_bandwidth,vectorized,f64,1048576,0,1,0.000344735,3189440.087,1.212,48.667,0.971,229,avx2
axpy,scalar,f64,1048576,1,1,0.000361371,6085223.370,1.270,69.640,0.000,230,avx2
dot_product,scalar,f64,1048576,1,1,0.000259923,8460287.304,0.914,64.547,0.000,231,avx2
elementwise_multiply,scalar,f64,1048576,1,1,0.000728565,1509146.922,2.561,34.542,0.000,232,avx2
stencil_3point,scalar,f64,1048576,1,1,0.000363137,15139074.618,1.277,69.301,0.000,233,avx2
memory_bandwidth,scalar,f64,1048576,1,1,0.000313577,3506352.914,1.102,53.503,0.000,234,avx2
axpy,vectorized,f64,1048576,1,1,0.000366299,6003355.878,1.288,68.703,0.987,235,avx2
dot_product,vectorized,f64,1048576,1,1,0.000285510,7702088.389,1.004,58.762,0.910,236,avx2
elementwise_multiply,vectorized,f64,1048576,1,1,0.000765528,1436278.788,2.691,32.874,0.952,237,avx2
stencil_3point,vectorized,f64,1048576,1,1,0.000390492,14078542.292,1.373,64.446,0.930,238,avx2
memory_bandwidth,vectorized,f64,1048576,1,1,0.000354121,3104903.770,1.245,47.377,0.886,239,avx2
axpy,scalar,f32,4194304,0,1,0.001358491,25899598.962,1.194,37.050,0.000,240,avx2
dot_product,scalar,f32,4194304,0,1,0.000941237,37380991.282,0.827,35.649,0.000,241,avx2
elementwise_multiply,scalar,f32,4194304,0,1,0.002100125,8376732.835,1.846,23.966,0.000,242,avx2
stencil_3point,scalar,f32,4194304,0,1,0.001329348,66168475.239,1.168,37.862,0.000,243,avx2
memory_bandwidth,scalar,f32,4194304,0,1,0.001395553,12605888.880,1.226,24.044,0.000,244,avx2
axpy,vectorized,f32,4194304,0,1,0.001251515,28113424.197,1.100,40.217,1.085,245,avx2
dot_product,vectorized,f32,4194304,0,1,0.000963463,36518654.153,0.847,34.827,0.977,246,avx2
elementwise_multiply,vectorized,f32,4194304,0,1,0.002096290,8392057.417,1.842,24.010,1.002,247,avx2
stencil_3point,vectorized,f32,4194304,0,1,0.001415160,62156173.309,1.244,35.566,0.939,248,avx2
memory_bandwidth,vectorized,f32,4194304,0,1,0.001622500,10842641.630,1.426,20.681,0.860,249,avx2
axpy,scalar,f32,4194304,1,1,0.001933712,18195249.390,1.699,26.029,0.000,250,avx2
dot_product,scalar,f32,4194304,1,1,0.001084245,32450573.520,0.953,30.947,0.000,251,avx2
elementwise_multiply,scalar,f32,4194304,1,1,0.002869685,6130354.392,2.522,17.539,0.000,252,avx2
stencil_3point,scalar,f32,4194304,1,1,0.001896867,46371690.910,1.667,26.534,0.000,253,avx2
