# CPU: 12th Gen Intel(R) Core(TM) i5-12600KF
# CPU Frequency: 3.69 GHz
# Compiler: Clang 19.1.5
# 
kernel,implementation,data_type,array_size,aligned,stride,time_seconds,gflops,cpe,bandwidth_gbs,speedup,run_id,compiler_flags
dot_product,scalar,f32,262144,0,1,0.000037364,3678378.998,0.525,56.128,0.000,161,vectorized
elementwise_multiply,scalar,f32,262144,0,1,0.000047699,1440690.093,0.671,65.950,0.000,162,vectorized
stencil_3point,scalar,f32,262144,0,1,0.000037560,9147960.184,0.528,83.752,0.000,163,vectorized
memory_bandwidth,scalar,f32,262144,0,1,0.000037034,1855578.030,0.521,56.628,0.000,164,vectorized
axpy,vectorized,f32,262144,0,1,0.000042131,3262181.130,0.592,74.665,1.070,165,vectorized
dot_product,vectorized,f32,262144,0,1,0.000029455,4666065.273,0.414,71.199,1.269,166,vectorized
elementwise_multiply,vectorized,f32,262144,0,1,0.000053380,1287363.748,0.751,58.931,0.894,167,vectorized
stencil_3point,vectorized,f32,262144,0,1,0.000046378,7408628.768,0.652,67.828,0.810,168,vectorized
memory_bandwidth,vectorized,f32,262144,0,1,0.000041732,1646685.441,0.587,50.253,0.887,169,vectorized
axpy,scalar,f32,262144,1,1,0.000048385,2840528.130,0.680,65.015,0.000,170,vectorized
dot_product,scalar,f32,262144,1,1,0.000028209,4872166.806,0.397,74.343,0.000,171,vectorized
elementwise_multiply,scalar,f32,262144,1,1,0.000045408,1513378.187,0.638,69.277,0.000,172,vectorized
stencil_3point,scalar,f32,262144,1,1,0.000035855,9582969.836,0.504,87.735,0.000,173,vectorized
memory_bandwidth,scalar,f32,262144,1,1,0.000032932,2086708.277,0.463,63.681,0.000,174,vectorized
axpy,vectorized,f32,262144,1,1,0.000043788,3138735.564,0.616,71.840,1.105,175,vectorized
dot_product,vectorized,f32,262144,1,1,0.000035213,3903074.270,0.495,59.556,0.801,176,vectorized
elementwise_multiply,vectorized,f32,262144,1,1,0.000047385,1450236.928,0.666,66.387,0.958,177,vectorized
